School_ID,School_Type,Student_Count_Total,ADA_Accessible,Dress_Code,Bilingual_Services,Refugee_Services,Title_1_Eligible,Average_ACT_School,College_Enrollment_Rate_School,Graduation_Rate_School,Overall_Rating,Rating_Status,Student_Growth_Rating,Student_Attainment_Rating,Culture_Climate_Rating,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,School_Survey_School_Community,School_Survey_Parent_Teacher_Partnership,School_Survey_Quality_Of_Facilities,Growth_ACT_Grade_11_Pct,Attainment_ACT_Grade_11_Pct,Freshmen_On_Track_School_Pct_Year_2,College_Persistence_School_Pct_Year_2,Supportive_School_Award,lib_cnt,Neighborhood Name,PRED_NON_ENG_LANG,PRED_NON_ENG_PERCENT,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME,HARDSHIP INDEX,Suspensions_Per_100_Students_Change,Misconducts_To_Suspensions_Change,Student_Attendance_Change,Teacher_Attendance_Change,One_Year_Dropout_Rate_Change,Student_Low_Income_Pct,Student_Special_Ed_Pct,Student_English_Learners_Pct,Student_Black_Pct,Student_Hispanic_Pct,Student_White_Pct,Student_Asian_Pct
400058,Charter,357,Fully Accessible,Y,Y,N,Y,15.3,65.8,67.1,Level 1,Not Applicable,BELOW AVERAGE,BELOW AVERAGE,PARTIALLY ORGANIZED,WEAK,NEUTRAL,STRONG,WEAK,NEUTRAL,VERY WEAK,VERY STRONG,STRONG,VERY STRONG,-1.1,11,92.1,59.3,Coming Soon,8,NORTH LAWNDALE,SPANISH,0.02,0.074,0.431,0.212,0.276,0.427,12034,87,0,0,1.1,0,0.2,0.977591036,0.182072829,0,0.994397759,0.00280112,0.00280112,0
609692,Career academy,1339,Generally accessible,Y,N,N,Y,16.2,63.2,80.7,Level 1,Good Standing,BELOW AVERAGE,BELOW AVERAGE,ORGANIZED,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-1.4,16,81.7,77.1,Coming Soon,3,CHATHAM,SPANISH,0,0.033,0.278,0.24,0.145,0.403,18881,60,-5.8,-26.4,-0.6,4.4,0.8,0.920836445,0.099327857,0,0.988050784,0.008961912,0.000746826,0
610529,Neighborhood,880,Generally accessible,N,N,N,Y,19.7,72.6,83.6,Level 1,Good Standing,ABOVE AVERAGE,AVERAGE,WELL ORGANIZED,VERY STRONG,NEUTRAL,STRONG,NEUTRAL,STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,0.8,51,93.6,80,Coming Soon,8,WEST TOWN,SPANISH,0.1,0.023,0.147,0.066,0.129,0.217,43198,10,-1.3,9.1,-1.5,0,-0.9,0.546590909,0.105681818,0.0375,0.367045455,0.327272727,0.225,0.046590909
610340,Small,541,Fully Accessible,N,N,N,Y,18.5,80.4,85.4,Level 1,Good Standing,ABOVE AVERAGE,AVERAGE,PARTIALLY ORGANIZED,WEAK,STRONG,STRONG,VERY WEAK,WEAK,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,0.7,40,83,64.9,Coming Soon,2,DUNNING,POLISH,0.15,0.052,0.106,0.1,0.162,0.336,26282,28,2.8,22.2,-1.7,5.4,1.9,0.820702403,0.208872458,0.099815157,0.118299445,0.617375231,0.197781885,0.051756007
609744,Special Education,230,Fully Accessible,N,Y,U,Y,17.46752137,0,3.1,Inability to Rate,Good Standing,NO DATA AVAILABLE,NO DATA AVAILABLE,WELL ORGANIZED,VERY STRONG,STRONG,VERY STRONG,NEUTRAL,STRONG,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,-0.062280702,29.64957265,100,65.80608696,Coming Soon,3,NORTH PARK,SPANISH,0.06,0.039,0.132,0.099,0.144,0.39,26576,33,1.8,11.1,0.7,4.8,0,0.843478261,1,0.330434783,0.226086957,0.504347826,0.2,0.043478261
609738,Neighborhood,2097,Fully Accessible,N,Y,N,N,22.3,79.6,87.7,Level 1+,Good Standing,ABOVE AVERAGE,ABOVE AVERAGE,ORGANIZED,NOT ENOUGH DATA,NEUTRAL,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,0.6,78,87.7,86,Coming Soon,3,LINCOLN PARK,SPANISH,0.01,0.008,0.123,0.051,0.036,0.215,71551,2,-2,-28.7,-0.4,4.5,0,0.543156891,0.081068193,0.026227945,0.21316166,0.347639485,0.280877444,0.116833572
609746,Neighborhood,1763,Generally accessible,N,Y,N,Y,19.2,78.3,84.6,Level 1+,Good Standing,ABOVE AVERAGE,AVERAGE,WELL ORGANIZED,VERY STRONG,STRONG,VERY STRONG,STRONG,STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,0.6,45,94.2,77.2,Coming Soon,2,KENWOOD,SPANISH,0.01,0.024,0.217,0.157,0.113,0.354,35911,26,0.1,-10.3,-1.5,5.1,0.1,0.601247873,0.061826432,0.00907544,0.832671583,0.044242768,0.051616563,0.028927964
609712,Neighborhood,132,No/unknown accessibility,Y,N,N,Y,13.1,40.5,36.1,Level 3,Intensive Support,FAR BELOW AVERAGE,FAR BELOW AVERAGE,WELL ORGANIZED,STRONG,STRONG,VERY STRONG,STRONG,STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-1.7,3,83.3,64.3,Coming Soon,3,GREATER GRAND CROSSING,SPANISH,0,0.036,0.296,0.23,0.165,0.41,17285,66,-11.4,-16.2,-2.5,4.2,10.8,0.901515152,0.401515152,0.007575758,0.977272727,0.007575758,0.007575758,0
400010,Charter,314,Generally accessible,Y,Y,N,Y,15.2,56.3,68.8,Level 2,Not Applicable,BELOW AVERAGE,BELOW AVERAGE,WELL ORGANIZED,VERY STRONG,NEUTRAL,VERY STRONG,STRONG,VERY STRONG,VERY WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-0.9,10,40,63.2,Coming Soon,5,WASHINGTON PARK,SPANISH,0.01,0.056,0.421,0.286,0.254,0.428,13785,88,0,0,0.5,0,-1.9,0.961783439,0.213375796,0.070063694,0.824840764,0.156050955,0.012738854,0
400033,Charter,1329,No/unknown accessibility,Y,N,N,Y,15.4,64.9,82.6,Level 2,Not Applicable,AVERAGE,BELOW AVERAGE,PARTIALLY ORGANIZED,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,VERY WEAK,NEUTRAL,NEUTRAL,NEUTRAL,-0.1,11,80.4,67.2,Coming Soon,4,WASHINGTON HEIGHTS,SPANISH,0,0.011,0.169,0.208,0.137,0.426,19713,48,0,0,0.4,0,0.5,0.918735892,0.173062453,0.006772009,0.9834462,0.006019564,0.001504891,0
