School_ID,School_Type,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,ADA_Accessible,Dress_Code,Bilingual_Services,Refugee_Services,Title_1_Eligible,Average_ACT_School,College_Enrollment_Rate_School,Graduation_Rate_School,Overall_Rating,Rating_Status,Student_Growth_Rating,Student_Attainment_Rating,Culture_Climate_Rating,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,School_Survey_School_Community,School_Survey_Parent_Teacher_Partnership,School_Survey_Quality_Of_Facilities,Growth_ACT_Grade_11_Pct,Attainment_ACT_Grade_11_Pct,Freshmen_On_Track_School_Pct_Year_2,Graduation_5_Year_School_Pct_Year_2,College_Enrollment_School_Pct_Year_2,College_Persistence_School_Pct_Year_2,Supportive_School_Award,lib_cnt,Neighborhood Name,PRED_NON_ENG_LANG,PRED_NON_ENG_PERCENT,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX,Suspensions_Per_100_Students_Change,Misconducts_To_Suspensions_Change,Student_Attendance_Change,Teacher_Attendance_Change,One_Year_Dropout_Rate_Change
400058,Charter,357,349,65,0,355,1,1,0,Fully Accessible,Y,Y,N,Y,15.3,65.8,67.1,Level 1,Not Applicable,BELOW AVERAGE,BELOW AVERAGE,PARTIALLY ORGANIZED,WEAK,NEUTRAL,STRONG,WEAK,NEUTRAL,VERY WEAK,VERY STRONG,STRONG,VERY STRONG,-1.1,11.0,92.1,67.1,65.8,59.3,Coming Soon,8,NORTH LAWNDALE,SPANISH,0.02,0.07400000000000001,0.431,0.212,0.276,0.4270000000000001,12034,87,0.0,0.0,1.0999999999999943,0.0,0.19999999999999996
609692,Career academy,1339,1233,133,0,1323,12,1,0,Generally accessible,Y,N,N,Y,16.2,63.2,80.7,Level 1,Good Standing,BELOW AVERAGE,BELOW AVERAGE,ORGANIZED,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-1.4,16.0,81.7,80.7,63.2,77.1,Coming Soon,3,CHATHAM,SPANISH,0.0,0.033,0.278,0.24,0.145,0.403,18881,60,-5.800000000000001,-26.4,-0.5999999999999943,4.3999999999999915,0.8
610529,Neighborhood,880,481,93,33,323,288,198,41,Generally accessible,N,N,N,Y,19.7,72.6,83.6,Level 1,Good Standing,ABOVE AVERAGE,AVERAGE,WELL ORGANIZED,VERY STRONG,NEUTRAL,STRONG,NEUTRAL,STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,0.8,51.0,93.6,83.6,72.6,80.0,Coming Soon,8,WEST TOWN,SPANISH,0.1,0.023,0.147,0.066,0.129,0.217,43198,10,-1.3,9.100000000000001,-1.5,0.0,-0.9000000000000001
610340,Small,541,444,113,54,64,334,107,28,Fully Accessible,N,N,N,Y,18.5,80.4,85.4,Level 1,Good Standing,ABOVE AVERAGE,AVERAGE,PARTIALLY ORGANIZED,WEAK,STRONG,STRONG,VERY WEAK,WEAK,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,0.7,40.0,83.0,85.4,80.4,64.9,Coming Soon,2,DUNNING,POLISH,0.15,0.052000000000000005,0.106,0.1,0.162,0.336,26282,28,2.8,22.2,-1.7000000000000028,5.400000000000006,1.9
609744,Special Education,230,194,230,76,52,116,46,10,Fully Accessible,N,Y,U,Y,17.467521367521364,0.0,3.1,Inability to Rate,Good Standing,NO DATA AVAILABLE,NO DATA AVAILABLE,WELL ORGANIZED,VERY STRONG,STRONG,VERY STRONG,NEUTRAL,STRONG,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,-0.062280701754386,29.64957264957265,100.0,3.1,0.0,65.80608695652174,Coming Soon,3,NORTH PARK,SPANISH,0.06,0.039,0.132,0.099,0.14400000000000002,0.39,26576,33,1.8,11.100000000000001,0.7000000000000028,4.799999999999997,0.0
609738,Neighborhood,2097,1139,170,55,447,729,589,245,Fully Accessible,N,Y,N,N,22.3,79.6,87.7,Level 1+,Good Standing,ABOVE AVERAGE,ABOVE AVERAGE,ORGANIZED,NOT ENOUGH DATA,NEUTRAL,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,0.6,78.0,87.7,87.7,79.6,86.0,Coming Soon,3,LINCOLN PARK,SPANISH,0.01,0.008,0.123,0.051,0.036000000000000004,0.215,71551,2,-2.0,-28.700000000000003,-0.4000000000000057,4.5,0.0
609746,Neighborhood,1763,1060,109,16,1468,78,91,51,Generally accessible,N,Y,N,Y,19.2,78.3,84.6,Level 1+,Good Standing,ABOVE AVERAGE,AVERAGE,WELL ORGANIZED,VERY STRONG,STRONG,VERY STRONG,STRONG,STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,0.6,45.0,94.2,84.6,78.3,77.2,Coming Soon,2,KENWOOD,SPANISH,0.01,0.024,0.217,0.157,0.113,0.354,35911,26,0.10000000000000142,-10.3,-1.5,5.099999999999994,0.10000000000000009
609712,Neighborhood,132,119,53,1,129,1,1,0,No/unknown accessibility,Y,N,N,Y,13.1,40.5,36.1,Level 3,Intensive Support,FAR BELOW AVERAGE,FAR BELOW AVERAGE,WELL ORGANIZED,STRONG,STRONG,VERY STRONG,STRONG,STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-1.7,3.0,83.3,36.1,40.5,64.3,Coming Soon,3,GREATER GRAND CROSSING,SPANISH,0.0,0.036000000000000004,0.29600000000000004,0.23,0.165,0.41,17285,66,-11.400000000000006,-16.2,-2.5,4.200000000000003,10.799999999999999
400010,Charter,314,302,67,22,259,49,4,0,Generally accessible,Y,Y,N,Y,15.2,56.3,68.8,Level 2,Not Applicable,BELOW AVERAGE,BELOW AVERAGE,WELL ORGANIZED,VERY STRONG,NEUTRAL,VERY STRONG,STRONG,VERY STRONG,VERY WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-0.9,10.0,40.0,68.8,56.3,63.2,Coming Soon,5,WASHINGTON PARK,SPANISH,0.01,0.056,0.421,0.28600000000000003,0.254,0.428,13785,88,0.0,0.0,0.5,0.0,-1.9
400033,Charter,1329,1221,230,9,1307,8,2,0,No/unknown accessibility,Y,N,N,Y,15.4,64.9,82.6,Level 2,Not Applicable,AVERAGE,BELOW AVERAGE,PARTIALLY ORGANIZED,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,VERY WEAK,NEUTRAL,NEUTRAL,NEUTRAL,-0.1,11.0,80.4,82.6,64.9,67.2,Coming Soon,4,WASHINGTON HEIGHTS,SPANISH,0.0,0.011,0.16899999999999998,0.208,0.13699999999999998,0.426,19713,48,0.0,0.0,0.3999999999999915,0.0,0.5
609691,Neighborhood,954,902,158,182,153,777,11,5,Fully Accessible,N,Y,N,Y,15.9,42.6,74.3,Level 1,Good Standing,AVERAGE,BELOW AVERAGE,WELL ORGANIZED,STRONG,STRONG,STRONG,VERY STRONG,VERY STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-0.5,16.0,91.4,74.3,42.6,61.5,Established,2,HUMBOLDT PARK,SPANISH,0.18,0.14800000000000002,0.339,0.173,0.354,0.38,13781,85,-0.3000000000000007,-3.1000000000000014,-1.3999999999999915,4.5,1.0999999999999996
609704,Neighborhood,731,703,166,206,60,658,4,0,No/unknown accessibility,Y,Y,N,Y,15.2,37.8,65.3,Level 2,Intensive Support,BELOW AVERAGE,BELOW AVERAGE,MODERATELY ORGANIZED,NEUTRAL,NEUTRAL,STRONG,WEAK,NEUTRAL,VERY WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,-0.9,11.0,85.1,65.3,37.8,68.8,Established,7,SOUTH LAWNDALE,SPANISH,0.44,0.152,0.307,0.158,0.5479999999999999,0.338,10402,96,-4.0,2.5999999999999996,0.20000000000000284,4.700000000000003,0.6999999999999993
400106,Charter,807,772,168,9,785,16,0,1,No/unknown accessibility,Y,N,N,Y,18.2,81.3,77.4,Level 1,Not Applicable,FAR ABOVE AVERAGE,BELOW AVERAGE,WELL ORGANIZED,STRONG,STRONG,VERY STRONG,STRONG,STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,2.1,34.0,88.0,77.4,81.3,68.9,Coming Soon,3,ENGLEWOOD,SPANISH,0.0,0.038,0.466,0.28,0.285,0.425,11888,94,0.0,0.0,1.4000000000000057,0.0,4.1
