609764,80.9
400054,90.3
609726,93.4
400094,69.9
609755,96.2
609756,76.0
610518,70.9
400077,76.3
400056,82.4
610394,74.3
400058,67.1
609692,80.7
610529,83.6
610340,85.4
609744,3.1
609738,87.7
609746,84.6
609712,36.1
400010,68.8
400033,82.6
609691,74.3
609704,65.3
400106,77.4
610245,56.3
609724,72.3
400064,85.7
400055,85.6
400105,82.4
400104,82.8
609698,75.7
610524,87.1
609728,66.9
400066,78.1
400086,71.3
610557,0.0
609705,49.5
400051,92.8
609694,84.6
609739,72.2
609761,62.6
609754,85.4
609748,1.7
400057,83.3
609722,57.9
610547,71.0
609713,53.6
610385,80.9
609720,95.9
400034,83.3
610381,80.6
609676,71.5
609733,64.0
610383,87.5
609740,62.9
609759,83.5
400085,84.5
609715,77.8
609734,85.2
400036,50.0
609741,82.9
400052,88.1
610543,80.5
609783,1.3
609730,81.3
609716,69.8
609762,74.4
610389,39.0
609737,88.8
609723,57.7
609732,71.3
609674,72.6
609718,68.8
609709,68.7
400035,85.2
609725,79.6
610334,73.4
610391,89.2
609727,57.9
609708,65.2
610323,63.7
609729,72.5
610513,86.1
610384,94.2
610244,85.8
609749,97.8
609753,74.7
609760,91.0
609693,97.6
400022,81.1
609680,95.3
610392,77.9
609678,91.8
609719,91.2
400087,66.7
610380,83.5
609750,21.4
400053,81.7
400062,73.1
610357,91.2
609707,39.4
400098,86.4
610506,73.9
400013,67.9
609679,88.2
610499,58.9
400061,75.2
609751,89.4
609766,27.8
400032,78.6
609768,71.4
400102,64.1
609695,82.8
400091,69.5
609710,54.6
609735,50.0
400059,69.7
609682,71.7
609711,62.1
400097,71.5
610304,91.5
610390,87.6
